Identifier,ST,Pool,Quarter,Year,Period,Units,Scripts,Total Amount,Market Share,PDL Status
0,NE,TOP$,1,2019,20191.00,0,0,0,0,0
0,NE,TOP$,1,2019,20191.00,26,23,14866.99,0.273809524,0
1,NV,NMPI,1,2019,20191.00,67,53,37875.4,0.510040161,0
0,NV,NMPI,1,2019,20191.00,77,74,44974.17,0.510040161,0
1,NV,NMPI,1,2019,20191.00,60,34,22559.96,0.369477912,0
0,NV,NMPI,1,2019,20191.00,87,58,33710.94,0.369477912,0
0,NV,NMPI,1,2019,20191.00,33,30,19163.1,0.120481928,0
1,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
1,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NY,NMPI,1,2019,20191.00,575,539,322915.05,0.614537445,0
1,NY,NMPI,1,2019,20191.00,19,19,10720.86,0.614537445,0
0,NY,NMPI,1,2019,20191.00,400.5,253,148763.83,0.278634361,0
1,NY,NMPI,1,2019,20191.00,0,0,0,0.278634361,0
0,NY,NMPI,1,2019,20191.00,0,0,0,0.106828194,0
0,NY,NMPI,1,2019,20191.00,115,97,64468.35,0.106828194,0
1,NY,NMPI,1,2019,20191.00,0,0,0,0.106828194,0
0,NY,NMPI,1,2019,20191.00,0,0,0,0.106828194,0
0,OH,SSDC,1,2019,20191.00,966,917,549009.1,0.687912088,0
1,OH,SSDC,1,2019,20191.00,22,22,12403.81,0.687912088,0
0,OH,SSDC,1,2019,20191.00,416.5,262,158367.65,0.191941392,0
1,OH,SSDC,1,2019,20191.00,0,0,0,0.191941392,0
0,OH,SSDC,1,2019,20191.00,210,164,119585.51,0.12014652,0
1,OH,SSDC,1,2019,20191.00,0,0,0,0.12014652,0
0,OH,SSDC,1,2019,20191.00,0,0,0,0.12014652,0
1,PA,SSDC,1,2019,20191.00,0,0,0,0.611774065,0
0,PA,SSDC,1,2019,20191.00,855,769,479950.2,0.611774065,0
0,PA,SSDC,1,2019,20191.00,508.5,320,190433.99,0.254574383,0
1,PA,SSDC,1,2019,20191.00,0,0,0,0.254574383,0
0,PA,SSDC,1,2019,20191.00,0,0,0,0.133651551,0
0,PA,SSDC,1,2019,20191.00,231,168,129662.18,0.133651551,0
0,PA,SSDC,1,2019,20191.00,0,0,0,0.133651551,0
1,RI,NMPI,1,2019,20191.00,0,0,0,0.4375,0
0,RI,NMPI,1,2019,20191.00,28,28,14849.01,0.4375,0
0,RI,NMPI,1,2019,20191.00,33,22,12436.58,0.34375,0
0,RI,NMPI,1,2019,20191.00,17,14,9617.94,0.21875,0
0,RI,NMPI,1,2019,20191.00,0,0,0,0.21875,0
1,TN,Independent,1,2019,20191.00,364,327,204068.6,0.638671875,0
1,TN,Independent,1,2019,20191.00,159,102,59423.08,0.19921875,0
1,TN,Independent,1,2019,20191.00,86,83,48196.19,0.162109375,0
1,TN,Independent,1,2019,20191.00,0,0,0,0.162109375,0
0,TX,Independent,1,2019,20191.00,162,149,92030.68,0.483766234,0
1,TX,Independent,1,2019,20191.00,0,0,0,0.483766234,0
1,TX,Independent,1,2019,20191.00,0,0,0,0.386363636,0
0,TX,Independent,1,2019,20191.00,187.5,119,70971.22,0.386363636,0
